Progreso tensor([484.2090], device='cuda:0') %
Progreso tensor([86.2072], device='cuda:0') %
Progreso tensor([218.9832], device='cuda:0') %
Progreso tensor([281.9015], device='cuda:0') %
Progreso tensor([307.3054], device='cuda:0') %
Progreso tensor([513.5161], device='cuda:0') %
Progreso tensor([519.5933], device='cuda:0') %
Progreso tensor([387.3120], device='cuda:0') %
Progreso tensor([51.7850], device='cuda:0') %
Progreso tensor([60.1849], device='cuda:0') %
Progreso tensor([126.6059], device='cuda:0') %
Progreso tensor([276.1752], device='cuda:0') %
Progreso tensor([246.7841], device='cuda:0') %
Progreso tensor([450.0229], device='cuda:0') %
Progreso tensor([517.7815], device='cuda:0') %
Progreso tensor([89.2723], device='cuda:0') %
Progreso tensor([111.5045], device='cuda:0') %
Progreso tensor([507.9272], device='cuda:0') %
Progreso tensor([218.1176], device='cuda:0') %
Progreso tensor([8.3364], device='cuda:0') %
Progreso tensor([58.5089], device='cuda:0') %
Progreso tensor([60.5202], device='cuda:0') %
Progreso tensor([134.5518], device='cuda:0') %
Progreso tensor([230.5709], device='cuda:0') %
Progreso tensor([337.1191], device='cuda:0') %
Progreso tensor([220.2875], device='cuda:0') %
Progreso tensor([277.4660], device='cuda:0') %
Progreso tensor([520.0472], device='cuda:0') %
Progreso tensor([437.0439], device='cuda:0') %
Progreso tensor([262.6067], device='cuda:0') %
Progreso tensor([525.9039], device='cuda:0') %
Progreso tensor([335.0624], device='cuda:0') %
Progreso tensor([420.1258], device='cuda:0') %
Progreso tensor([410.2480], device='cuda:0') %
Progreso tensor([452.0208], device='cuda:0') %
Progreso tensor([582.5609], device='cuda:0') %
Progreso tensor([421.7461], device='cuda:0') %
Progreso tensor([625.4872], device='cuda:0') %
Progreso tensor([441.3799], device='cuda:0') %
Progreso tensor([240.2843], device='cuda:0') %
Progreso tensor([163.8983], device='cuda:0') %
Progreso tensor([21.8206], device='cuda:0') %
Progreso tensor([60.9157], device='cuda:0') %
Progreso tensor([144.7323], device='cuda:0') %
Progreso tensor([189.3728], device='cuda:0') %
Progreso tensor([281.8871], device='cuda:0') %
Progreso tensor([209.1748], device='cuda:0') %
Progreso tensor([665.8221], device='cuda:0') %
Progreso tensor([774.6952], device='cuda:0') %
Progreso tensor([355.0714], device='cuda:0') %
Progreso tensor([791.7433], device='cuda:0') %
Progreso tensor([96.8439], device='cuda:0') %
Progreso tensor([36.1977], device='cuda:0') %
Progreso tensor([217.0729], device='cuda:0') %
Progreso tensor([185.4731], device='cuda:0') %
Progreso tensor([319.5981], device='cuda:0') %
Progreso tensor([528.9993], device='cuda:0') %
Progreso tensor([433.6982], device='cuda:0') %
Progreso tensor([745.2557], device='cuda:0') %
Progreso tensor([492.1071], device='cuda:0') %
Progreso tensor([354.7719], device='cuda:0') %
Progreso tensor([321.5001], device='cuda:0') %
Progreso tensor([391.4569], device='cuda:0') %
Progreso tensor([221.1651], device='cuda:0') %
Progreso tensor([448.9885], device='cuda:0') %
Progreso tensor([28.6320], device='cuda:0') %
Progreso tensor([72.3784], device='cuda:0') %
Progreso tensor([181.6815], device='cuda:0') %
Progreso tensor([252.3440], device='cuda:0') %
Progreso tensor([524.5806], device='cuda:0') %
Progreso tensor([558.6647], device='cuda:0') %
Progreso tensor([466.1741], device='cuda:0') %
Progreso tensor([371.0919], device='cuda:0') %
Progreso tensor([678.4525], device='cuda:0') %
Progreso tensor([8.4276], device='cuda:0') %
Progreso tensor([31.8588], device='cuda:0') %
Progreso tensor([80.1160], device='cuda:0') %
Progreso tensor([163.1301], device='cuda:0') %
Progreso tensor([427.8960], device='cuda:0') %
Progreso tensor([905.5905], device='cuda:0') %
Progreso tensor([633.0957], device='cuda:0') %
Progreso tensor([283.3056], device='cuda:0') %
Progreso tensor([652.4022], device='cuda:0') %
Progreso tensor([1573.8560], device='cuda:0') %
Progreso tensor([435.3752], device='cuda:0') %
Progreso tensor([451.5073], device='cuda:0') %
Progreso tensor([42.9890], device='cuda:0') %
Progreso tensor([102.4047], device='cuda:0') %
Progreso tensor([319.4269], device='cuda:0') %
Progreso tensor([254.1594], device='cuda:0') %
Progreso tensor([1111.4064], device='cuda:0') %
Progreso tensor([638.8033], device='cuda:0') %
Progreso tensor([1205.5129], device='cuda:0') %
Progreso tensor([788.2972], device='cuda:0') %
Progreso tensor([315.0653], device='cuda:0') %
Progreso tensor([13.3899], device='cuda:0') %
Progreso tensor([40.6465], device='cuda:0') %
Progreso tensor([145.3220], device='cuda:0') %
Progreso tensor([193.7778], device='cuda:0') %
Progreso tensor([249.2792], device='cuda:0') %
Progreso tensor([586.1718], device='cuda:0') %
Progreso tensor([693.2427], device='cuda:0') %
Progreso tensor([446.2408], device='cuda:0') %
Progreso tensor([606.2550], device='cuda:0') %
Progreso tensor([1924.3052], device='cuda:0') %
Progreso tensor([935.2917], device='cuda:0') %
Progreso tensor([1426.5403], device='cuda:0') %
Progreso tensor([459.1389], device='cuda:0') %
Progreso tensor([762.7325], device='cuda:0') %
Progreso tensor([778.8351], device='cuda:0') %
Progreso tensor([931.6371], device='cuda:0') %
Progreso tensor([624.1457], device='cuda:0') %
Progreso tensor([1176.1816], device='cuda:0') %
Progreso tensor([379.7964], device='cuda:0') %
Progreso tensor([423.2081], device='cuda:0') %
Progreso tensor([19.0232], device='cuda:0') %
Progreso tensor([55.5497], device='cuda:0') %
Progreso tensor([121.0830], device='cuda:0') %
Progreso tensor([266.0987], device='cuda:0') %
Progreso tensor([378.6443], device='cuda:0') %
Progreso tensor([534.2266], device='cuda:0') %
Progreso tensor([444.0417], device='cuda:0') %
Progreso tensor([541.6009], device='cuda:0') %
Progreso tensor([566.5368], device='cuda:0') %
Progreso tensor([641.2170], device='cuda:0') %
Progreso tensor([1586.5985], device='cuda:0') %
Progreso tensor([480.4853], device='cuda:0') %
Progreso tensor([467.1487], device='cuda:0') %
Progreso tensor([113.5789], device='cuda:0') %
Progreso tensor([30.6443], device='cuda:0') %
Progreso tensor([107.1346], device='cuda:0') %
Progreso tensor([194.8213], device='cuda:0') %
Progreso tensor([97.4451], device='cuda:0') %
Progreso tensor([83.5704], device='cuda:0') %
Progreso tensor([203.2546], device='cuda:0') %
Progreso tensor([352.2332], device='cuda:0') %
Progreso tensor([787.7603], device='cuda:0') %
Progreso tensor([474.8876], device='cuda:0') %
Progreso tensor([1220.8694], device='cuda:0') %
Progreso tensor([934.3813], device='cuda:0') %
Progreso tensor([647.0749], device='cuda:0') %
Progreso tensor([953.7950], device='cuda:0') %
Progreso tensor([1607.8528], device='cuda:0') %
Progreso tensor([321.8646], device='cuda:0') %
Progreso tensor([41.1539], device='cuda:0') %
Progreso tensor([138.5439], device='cuda:0') %
Progreso tensor([96.8203], device='cuda:0') %
Progreso tensor([340.9176], device='cuda:0') %
Progreso tensor([1304.7709], device='cuda:0') %
Progreso tensor([604.0441], device='cuda:0') %
Progreso tensor([691.0809], device='cuda:0') %
Progreso tensor([1184.9708], device='cuda:0') %
Progreso tensor([1183.1890], device='cuda:0') %
Progreso tensor([4241.4883], device='cuda:0') %
Progreso tensor([595.0547], device='cuda:0') %
Progreso tensor([587.4355], device='cuda:0') %
Progreso tensor([108.0460], device='cuda:0') %
Progreso tensor([14.4334], device='cuda:0') %
Progreso tensor([69.0507], device='cuda:0') %
Progreso tensor([118.0566], device='cuda:0') %
Progreso tensor([367.7698], device='cuda:0') %
